TRACE workspaces.workspace.ondidchangeactivetexteditor(1) - [22/May/2020:07:59:37 +0000] "ENOENT: no such file or directory, lstat '/home/matrix/Documents/aerodisk/engine2/bin/SCST/tests/test_params.py'

Stack:
    at /home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/out/log.js:88:52
    at ActionLogger.onLog (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:233:21)
    at ActionLogger.log (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:100:91)
    at /home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/out/workspaces.js:3198:18
    at ActionLogger.onLog (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:233:21)
    at ActionLogger.log (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:100:91)
    at ActionLogger.logSync (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:113:14)
    at ActionLogger.trace (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/node_modules/vscode-helpers/lib/logging/index.js:136:21)
    at Workspace.onDidChangeActiveTextEditor (/home/matrix/.vscode/extensions/mkloubert.vscode-deploy-reloaded-0.89.0/out/workspaces.js:2008:30)"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:25:58 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:25:59 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:18 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:27:19 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:19 +0000] "'/var/www/engine/bin/NETWORK/tests/test_net.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:27:19 +0000] "Setting mode for '/var/www/engine/bin/NETWORK/tests/test_net.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:19 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/README.md' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:19 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/.gitignore' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:19 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/CACHEDIR.TAG' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:20 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/v/cache/nodeids' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:21 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/v/cache/stepwise' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:27:21 +0000] "'/var/www/engine/bin/NETWORK/tests/.pytest_cache/v/cache/lastfailed' does NOT match with a mode pattern"
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:15 +0000] "'/var/www/engine/bin/SCST/tests/__init__.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:15 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/__init__.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:15 +0000] "'/var/www/engine/bin/SCST/tests/conftest.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:15 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/conftest.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:15 +0000] "'/var/www/engine/bin/SCST/tests/fixtures.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:15 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/fixtures.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:15 +0000] "'/var/www/engine/bin/SCST/tests/test_scst.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:16 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_scst.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:16 +0000] "'/var/www/engine/bin/SCST/tests/test_common.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:16 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_common.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:16 +0000] "'/var/www/engine/bin/SCST/tests/test_device.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:16 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_device.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:16 +0000] "'/var/www/engine/bin/SCST/tests/test_params.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_params.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:17 +0000] "'/var/www/engine/bin/SCST/tests/test_target.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_target.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:17 +0000] "'/var/www/engine/bin/SCST/tests/test_device_group.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_device_group.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:36:17 +0000] "'/var/www/engine/bin/SCST/tests/test_target_group.py' matches with mode pattern '/**/*.py'"
INFO clients.sftp.uploadfile(1) - [22/May/2020:09:36:17 +0000] "Setting mode for '/var/www/engine/bin/SCST/tests/test_target_group.py' to 777 ..."
NOTICE clients.sftp.uploadfile(3) - [22/May/2020:09:40:13 +0000] "'/var/www/engine/bin/NETWORK/tests/test.py' matches with mode pattern '/**/*.py'"
